2023-07-30 19:17:44,5.70%,81.50°C
2023-07-30 19:17:45,8.10%,81.38°C
2023-07-30 19:17:46,19.00%,81.39°C
2023-07-30 19:17:47,3.20%,81.28°C
2023-07-30 19:17:48,4.10%,81.15°C
2023-07-30 19:17:49,11.80%,81.01°C
2023-07-30 19:17:51,3.10%,80.79°C
2023-07-30 19:17:52,11.80%,80.66°C
2023-07-30 19:17:53,9.90%,80.61°C
2023-07-30 19:17:54,9.60%,80.56°C
2023-07-30 19:17:55,20.20%,80.45°C
2023-07-30 19:17:56,5.00%,80.42°C
2023-07-30 19:17:58,15.40%,80.18°C
2023-07-30 19:17:59,5.90%,80.05°C
2023-07-30 19:18:00,6.60%,79.82°C
2023-07-30 19:18:01,5.60%,79.65°C
2023-07-30 19:18:02,10.70%,79.61°C
2023-07-30 19:18:03,21.30%,79.55°C
2023-07-30 19:18:05,4.80%,79.77°C
2023-07-30 19:18:06,0.00%,79.50°C
2023-07-30 19:18:07,9.20%,79.38°C
2023-07-30 19:18:08,11.20%,79.27°C
2023-07-30 19:18:09,14.40%,79.18°C
2023-07-30 19:18:10,33.90%,79.80°C
2023-07-30 19:18:12,26.40%,81.46°C
2023-07-30 19:18:13,11.90%,82.91°C
2023-07-30 19:18:14,35.50%,82.65°C
2023-07-30 19:18:15,26.00%,82.68°C
2023-07-30 19:18:16,19.30%,83.36°C
2023-07-30 19:18:17,36.20%,83.15°C
2023-07-30 19:18:19,40.80%,83.05°C
2023-07-30 19:18:20,15.20%,84.35°C
2023-07-30 19:18:21,13.60%,84.14°C
2023-07-30 19:18:22,12.00%,84.06°C
2023-07-30 19:18:23,17.40%,84.00°C
2023-07-30 19:18:24,10.10%,83.94°C
2023-07-30 19:18:25,14.50%,83.83°C
2023-07-30 19:18:27,62.20%,84.16°C
2023-07-30 19:18:28,21.40%,84.10°C
2023-07-30 19:18:29,10.40%,84.00°C
2023-07-30 19:18:30,29.00%,83.94°C
2023-07-30 19:18:31,35.80%,84.05°C
2023-07-30 19:18:32,9.60%,84.08°C
2023-07-30 19:18:34,22.00%,83.99°C
2023-07-30 19:18:35,26.20%,84.02°C
2023-07-30 19:18:36,11.80%,83.93°C
2023-07-30 19:18:37,4.10%,84.21°C
2023-07-30 19:18:38,7.10%,84.09°C
2023-07-30 19:18:39,4.80%,83.93°C
2023-07-30 19:18:41,3.30%,83.66°C
2023-07-30 19:18:42,2.40%,83.51°C
2023-07-30 19:18:43,4.00%,83.35°C
2023-07-30 19:18:44,4.80%,83.16°C
2023-07-30 19:18:45,4.10%,82.99°C
2023-07-30 19:18:46,3.40%,82.82°C
2023-07-30 19:18:48,2.40%,82.46°C
2023-07-30 19:18:49,2.40%,82.29°C
2023-07-30 19:18:50,2.40%,82.11°C
2023-07-30 19:18:51,1.60%,81.94°C
2023-07-30 19:18:52,0.80%,81.75°C
2023-07-30 19:18:53,5.00%,81.57°C
2023-07-30 19:18:55,4.80%,81.20°C
2023-07-30 19:18:56,2.50%,81.02°C
2023-07-30 19:18:57,0.00%,80.83°C
2023-07-30 19:18:58,3.20%,80.64°C
2023-07-30 19:18:59,1.60%,80.45°C
2023-07-30 19:19:01,0.80%,80.06°C
2023-07-30 19:19:30,0.80%,74.93°C
2023-07-30 19:19:30,0.80%,74.68°C
2023-07-30 19:19:30,0.80%,74.68°C
2023-07-30 19:19:30,0.00%,74.68°C
2023-07-30 19:19:30,10.70%,74.68°C
2023-07-30 19:19:31,11.30%,74.68°C
2023-07-30 19:19:31,16.30%,74.53°C
2023-07-30 19:19:31,8.80%,74.53°C
2023-07-30 19:19:31,0.00%,74.53°C
2023-07-30 19:19:31,18.50%,74.53°C
2023-07-30 19:19:32,4.10%,74.39°C
2023-07-30 19:19:32,0.00%,74.39°C
2023-07-30 19:19:32,0.00%,74.39°C
2023-07-30 19:19:32,0.00%,74.39°C
2023-07-30 19:19:33,20.90%,74.39°C
2023-07-30 19:19:33,4.20%,74.25°C
2023-07-30 19:19:33,8.10%,74.25°C
2023-07-30 19:19:33,3.20%,74.25°C
2023-07-30 19:19:33,0.00%,74.25°C
2023-07-30 19:19:34,11.20%,74.10°C
2023-07-30 19:19:34,11.20%,74.10°C
2023-07-30 19:19:34,27.00%,74.10°C
2023-07-30 19:19:34,41.60%,74.10°C
2023-07-30 19:19:34,3.20%,74.10°C
2023-07-30 19:19:35,1.60%,73.96°C
2023-07-30 19:19:35,0.00%,73.96°C
2023-07-30 19:19:35,0.00%,73.96°C
2023-07-30 19:19:35,0.00%,73.96°C
2023-07-30 19:19:36,0.00%,73.96°C
2023-07-30 19:19:36,10.60%,73.80°C
2023-07-30 19:19:36,9.80%,73.80°C
2023-07-30 19:19:36,0.80%,73.80°C
2023-07-30 19:19:36,0.00%,73.80°C
2023-07-30 19:19:37,0.00%,73.66°C
2023-07-30 19:19:37,15.80%,73.66°C
2023-07-30 19:19:37,10.80%,73.66°C
2023-07-30 19:19:37,7.80%,73.66°C
2023-07-30 19:19:37,9.00%,73.66°C
2023-07-30 19:19:38,0.00%,73.51°C
2023-07-30 19:19:38,9.30%,73.51°C
2023-07-30 19:19:38,8.10%,73.51°C
2023-07-30 19:19:38,0.00%,73.51°C
2023-07-30 19:19:39,0.00%,73.51°C
2023-07-30 19:19:39,0.00%,73.36°C
2023-07-30 19:19:39,4.20%,73.36°C
2023-07-30 19:19:39,11.20%,73.36°C
2023-07-30 19:19:39,4.00%,73.36°C
2023-07-30 19:19:40,0.00%,73.14°C
2023-07-30 19:19:40,29.60%,73.14°C
2023-07-30 19:19:40,0.00%,73.14°C
2023-07-30 19:19:40,0.00%,73.14°C
2023-07-30 19:19:41,0.00%,73.14°C
2023-07-30 19:19:41,0.00%,73.00°C
2023-07-30 19:19:41,14.00%,73.00°C
2023-07-30 19:19:41,31.10%,73.00°C
2023-07-30 19:19:41,5.00%,73.00°C
2023-07-30 19:19:42,0.00%,72.87°C
2023-07-30 19:20:02,0.00%,70.25°C
2023-07-30 19:20:03,5.80%,70.15°C
2023-07-30 19:20:04,6.60%,70.08°C
2023-07-30 19:20:05,23.60%,70.02°C
2023-07-30 19:20:07,0.00%,69.95°C
2023-07-30 19:20:08,4.00%,69.75°C
2023-07-30 19:20:09,2.40%,69.64°C
2023-07-30 19:20:10,4.70%,69.46°C
2023-07-30 19:20:11,12.20%,69.40°C
2023-07-30 19:20:13,4.80%,69.30°C
2023-07-30 19:20:14,0.80%,69.09°C
2023-07-30 19:20:15,1.60%,68.98°C
2023-07-30 19:20:16,3.10%,68.90°C
2023-07-30 19:20:17,1.60%,68.80°C
2023-07-30 19:20:18,1.50%,68.69°C
2023-07-30 19:20:20,0.00%,68.57°C
2023-07-30 19:20:21,0.00%,68.30°C
2023-07-30 19:20:22,1.60%,68.20°C
2023-07-30 19:20:23,0.00%,68.09°C
2023-07-30 19:20:24,5.90%,67.98°C
2023-07-30 19:20:25,3.80%,67.88°C
2023-07-30 19:20:27,0.80%,67.78°C
2023-07-30 19:20:28,0.00%,67.56°C
2023-07-30 19:20:29,0.80%,67.45°C
2023-07-30 19:20:30,1.60%,67.26°C
2023-07-30 19:20:31,1.60%,67.14°C
2023-07-30 19:20:32,0.00%,67.02°C
2023-07-30 19:20:34,1.50%,66.91°C
2023-07-30 19:20:35,13.80%,66.71°C
2023-07-30 19:20:36,0.00%,66.63°C
